20,10,2,16,93017.0
0
86,1
9,85
27,88
63,35
98,48
62,87
60,16
77,92
38,53
6,31
1
91,86
34,9
83,30
82,63
87,8
53,86
83,49
68,85
62,95
8,15
2
68,29
35,17
15,62
8,41
2,56
16,54
31,53
72,67
14,44
61,55
3
36,79
77,4
81,69
94,37
60,30
96,24
55,28
43,17
24,88
82,7
4
81,24
4,78
76,25
67,16
34,85
98,36
78,71
38,77
47,19
66,37
5
74,21
31,29
43,2
67,18
66,81
11,13
42,100
62,11
14,1
32,92
6
20,26
7,67
20,75
80,19
47,66
95,45
2,30
99,29
34,80
49,43
7
2,54
11,37
89,20
86,24
32,34
37,26
24,46
61,54
14,5
19,46
8
16,2
4,88
75,11
10,46
19,51
55,24
30,35
62,93
53,73
4,96
9
54,98
58,89
90,65
48,10
64,90
71,90
1,65
87,64
32,61
57,96
10
91,53
21,55
63,11
22,3
76,11
50,58
20,60
29,9
91,89
58,45
11
72,8
85,60
65,3
18,66
10,28
55,44
58,38
72,54
6,37
82,70
12
61,85
3,94
44,94
64,93
58,12
87,57
25,23
45,17
100,19
44,83
13
49,87
30,1
41,50
33,100
73,37
100,64
62,42
49,75
10,92
75,66
14
9,37
46,6
11,98
22,4
38,26
69,59
9,16
61,34
88,12
100,80
15
10,37
82,76
1,59
20,60
35,46
21,64
51,68
9,85
33,39
100,21
16
5,24
97,57
39,51
32,14
4,70
61,39
20,87
15,5
25,59
38,22
17
37,9
83,64
87,82
20,77
70,49
97,4
41,61
13,9
68,64
100,59
18
10,10
19,27
55,71
18,15
25,22
11,76
94,20
36,47
64,48
8,34
19
88,37
58,96
13,26
35,50
69,27
45,66
61,59
18,49
73,62
90,8
