20,5,2,27,52673.0
0
53,2
44,6
2,19
77,26
100,31
1
21,11
69,93
36,4
35,9
84,89
2
55,23
59,71
82,89
85,3
51,18
3
29,36
1,81
61,43
59,15
73,80
4
28,29
8,73
71,63
42,100
88,60
5
19,12
21,30
68,22
27,68
69,87
6
81,26
3,40
97,2
51,72
44,20
7
53,46
80,24
60,28
21,52
26,85
8
17,67
23,100
32,65
75,78
67,17
9
69,14
56,44
22,42
89,26
64,95
10
21,65
53,99
82,50
38,18
89,71
11
39,85
97,68
74,55
69,20
18,81
12
6,27
93,89
43,79
56,51
8,59
13
47,97
95,76
13,61
77,44
62,88
14
81,100
7,42
28,83
93,22
47,73
15
95,68
87,58
63,17
58,60
75,73
16
38,61
61,69
86,4
85,75
15,97
17
58,64
32,32
11,23
29,59
67,91
18
1,46
87,93
66,95
49,54
87,38
19
87,6
27,86
82,13
25,2
78,62
