20,2,6,15,27423.0
0
53,99,95,10,19,57
64,24,73,79,9,93
1
38,37,97,51,50,46
29,26,89,99,9,24
2
72,91,22,82,69,63
9,36,21,9,91,84
3
80,85,81,61,69,1
88,78,10,71,71,57
4
57,53,100,83,5,55
66,90,18,71,22,95
5
19,99,60,36,16,45
80,35,61,36,4,13
6
59,89,34,78,44,7
15,29,20,39,94,85
7
93,29,91,83,100,47
34,29,81,85,63,88
8
18,55,19,48,78,92
93,20,17,18,62,24
9
96,64,54,97,87,88
97,31,100,27,55,98
10
37,29,66,77,16,98
9,81,47,17,91,26
11
23,84,39,41,11,34
48,7,73,48,51,77
12
51,68,16,62,83,56
56,49,82,37,45,62
13
52,89,99,25,37,17
49,31,36,28,77,56
14
83,96,12,85,8,31
47,12,12,67,9,76
15
86,84,41,35,59,34
39,56,20,36,97,38
16
42,17,37,40,84,88
24,67,73,79,60,31
17
8,57,77,80,43,36
47,83,27,81,85,1
18
2,6,42,89,8,73
61,14,35,62,99,39
19
87,47,40,79,45,6
52,87,52,4,79,92
