50,2,6,8,142345.0
0
62,17,12,13,18,57
14,90,52,67,14,1
1
73,68,13,85,59,54
55,30,48,17,11,43
2
20,54,62,26,84,58
15,10,2,58,98,1
3
51,69,53,68,83,56
36,54,95,40,13,38
4
61,31,45,78,40,55
71,73,43,25,82,60
5
38,24,44,23,41,59
57,49,69,75,73,82
6
89,63,92,62,97,29
88,74,48,12,50,81
7
50,5,29,93,21,86
84,32,85,62,95,4
8
13,34,87,93,3,79
46,92,83,8,87,57
9
83,10,45,83,99,13
80,79,49,94,86,81
10
95,29,19,29,8,84
40,63,63,20,44,92
11
76,54,10,90,12,47
82,83,78,91,45,88
12
88,81,30,30,100,65
100,38,12,51,17,97
13
88,75,88,100,3,56
24,71,95,98,66,12
14
42,93,90,94,53,51
7,85,25,4,74,69
15
8,45,11,82,67,28
34,26,36,73,27,53
16
32,42,56,68,8,89
67,64,57,79,81,97
17
32,37,63,19,38,90
34,13,91,55,60,50
18
19,13,69,63,96,38
31,3,80,53,37,64
19
39,17,78,82,26,18
51,68,31,94,39,67
20
62,4,78,93,82,23
75,43,14,54,87,22
21
72,91,76,6,72,40
45,34,68,20,49,18
22
57,62,27,29,14,24
44,67,13,17,86,99
23
72,60,51,52,29,35
1,33,14,80,57,96
24
33,34,60,55,44,92
24,99,17,39,52,79
25
52,67,43,98,15,53
76,23,9,62,48,10
26
60,14,32,48,89,85
19,81,71,39,42,34
27
83,59,4,92,81,42
1,81,3,46,57,34
28
88,43,91,68,6,63
54,54,40,69,59,67
29
39,15,29,70,86,32
16,23,59,56,6,64
30
69,99,31,26,45,78
37,70,23,82,17,33
31
47,17,37,97,70,69
16,50,2,85,25,47
32
32,40,14,63,55,90
46,40,53,14,34,13
33
14,83,99,75,84,14
5,84,13,38,87,100
34
60,29,73,83,85,88
11,81,22,74,65,84
35
31,41,67,33,37,72
91,2,87,13,18,59
36
61,10,18,57,63,90
14,42,50,83,65,44
37
25,78,1,76,13,88
58,37,35,63,73,33
38
2,68,1,85,25,4
97,69,77,94,21,22
39
73,82,6,52,34,13
78,80,98,50,42,72
40
96,38,5,20,89,73
32,60,54,33,42,17
41
54,82,41,72,58,17
68,2,22,31,71,50
42
41,54,23,53,6,2
71,2,47,75,70,4
43
86,16,68,99,71,66
2,1,90,32,1,1
44
43,25,59,69,20,70
51,68,95,62,81,21
45
93,84,81,20,7,97
25,2,59,10,8,70
46
9,98,55,74,95,22
22,27,91,76,60,49
47
83,51,22,15,47,35
9,45,90,9,75,72
48
8,58,1,100,87,17
59,94,18,80,85,22
49
89,77,40,20,85,72
53,28,43,69,99,31
