50,5,3,4,313583.0
0
68,87,98
55,35,15
81,59,84
76,31,77
78,50,79
1
62,78,32
85,97,82
29,97,79
99,26,32
65,26,93
2
26,68,58
55,71,66
27,71,93
52,67,75
68,20,45
3
66,16,58
27,72,93
56,69,14
49,45,24
96,19,32
4
43,5,63
82,78,91
81,79,31
62,70,63
30,94,81
5
47,18,15
75,78,67
4,49,67
33,77,52
4,86,26
6
27,38,23
77,100,79
93,45,8
70,51,60
20,93,20
7
53,85,81
56,24,69
12,8,58
52,57,59
95,57,100
8
69,53,57
86,92,30
90,78,62
10,69,9
78,6,46
9
84,74,57
34,56,65
74,73,30
28,5,47
28,89,63
10
36,6,86
55,21,33
18,50,16
8,91,31
31,20,36
11
72,89,61
64,25,50
45,14,68
69,36,100
78,15,79
12
69,53,97
51,11,28
19,75,39
3,52,31
47,61,24
13
34,60,52
27,77,71
45,61,98
19,51,85
90,67,42
14
5,2,60
18,71,87
91,39,30
66,83,92
89,46,68
15
100,2,4
75,80,76
66,55,56
88,90,73
21,90,35
16
83,41,89
3,42,9
35,79,4
40,65,97
60,96,29
17
45,93,78
63,48,35
29,37,42
31,49,38
80,73,51
18
13,92,8
63,64,93
74,78,82
57,59,19
20,21,19
19
90,55,40
49,94,87
11,97,42
31,31,5
2,19,64
20
2,18,59
100,47,95
8,61,54
79,61,98
89,56,89
21
73,32,69
89,5,41
14,33,46
31,71,49
84,77,87
22
2,15,56
67,10,20
98,5,64
44,1,7
4,52,79
23
99,80,88
11,45,47
68,45,73
29,75,85
21,19,34
24
33,41,46
56,44,24
28,24,17
13,39,96
69,79,40
25
36,99,11
25,80,100
74,74,48
84,11,58
52,73,77
26
26,27,7
31,71,11
41,56,75
42,76,6
62,2,45
27
95,85,87
98,56,77
48,91,9
2,56,27
53,15,84
28
9,18,67
63,38,6
91,65,83
15,9,59
25,4,88
29
49,74,77
30,68,19
9,36,41
17,70,57
67,75,78
30
97,75,73
51,18,65
74,31,1
100,83,24
71,37,8
31
47,19,10
65,46,7
42,50,7
72,25,96
14,74,13
32
20,84,53
7,34,90
94,70,46
96,68,73
54,42,34
33
79,71,9
71,35,35
2,77,31
70,55,46
40,59,9
34
80,99,24
64,83,7
88,48,33
66,59,40
68,61,5
35
44,52,49
20,29,4
94,7,48
51,1,75
84,40,35
36
81,51,14
47,2,13
18,100,87
100,93,29
43,7,54
37
51,81,48
49,56,8
47,4,45
80,3,66
47,83,48
38
90,59,55
43,63,69
74,28,61
74,90,32
75,13,78
39
40,63,35
29,60,20
73,76,6
91,25,42
20,11,89
40
99,100,73
94,50,3
76,16,4
18,59,55
35,64,10
41
98,99,40
24,33,87
84,30,22
11,13,10
81,75,7
42
17,56,83
54,98,87
18,31,63
58,25,81
71,14,29
43
32,1,79
69,32,13
34,48,21
32,63,69
99,2,27
44
40,50,28
26,95,24
66,57,34
82,20,47
54,41,52
45
71,51,53
98,69,5
96,85,43
71,6,5
7,92,47
46
72,74,85
45,90,97
28,70,15
42,61,48
7,12,41
47
35,29,88
70,89,96
43,59,70
14,72,82
7,62,59
48
80,92,36
80,93,14
37,68,67
15,45,86
97,82,15
49
38,35,55
53,12,77
85,77,44
33,15,59
12,5,1
