10,10,2,17,26626.0
0
72,84
65,8
40,6
49,25
8,18
60,2
5,90
84,29
73,61
94,88
1
1,6
82,7
61,97
82,60
97,79
45,28
34,73
3,8
10,58
27,77
2
22,64
72,14
73,33
72,85
82,95
33,57
86,33
64,28
90,86
32,41
3
39,49
27,29
14,99
47,81
5,21
44,49
46,57
26,60
11,66
93,40
4
73,80
88,1
29,80
45,35
94,71
4,46
4,4
78,7
15,20
14,33
5
83,40
73,54
42,37
10,51
38,2
73,42
9,87
67,54
89,28
66,13
6
69,88
46,84
54,34
33,36
5,81
65,75
18,39
68,53
84,4
100,11
7
55,13
99,67
2,78
12,84
91,91
76,85
36,54
9,67
34,64
34,98
8
15,45
80,69
17,70
67,58
10,11
87,5
39,39
68,8
96,3
11,84
9
88,39
42,45
97,94
90,9
57,50
77,41
52,17
41,11
29,78
98,88
