50,5,3,25,324381.0
0
95,34,59
2,31,7
70,100,87
8,21,84
57,16,41
1
55,37,18
45,73,38
43,60,10
57,51,69
59,91,12
2
14,36,70
38,8,48
22,43,3
95,93,96
75,15,90
3
24,73,83
32,66,33
81,71,11
2,39,91
34,44,55
4
63,91,30
24,87,52
4,79,67
18,34,7
83,73,61
5
23,78,55
7,87,58
50,41,30
42,95,87
48,8,59
6
58,76,59
28,4,80
90,38,3
8,38,9
16,69,22
7
52,90,9
99,54,69
95,46,24
73,87,65
76,28,94
8
40,32,91
42,78,15
83,9,81
96,50,94
88,9,93
9
92,32,71
36,49,9
84,70,73
78,83,79
10,85,94
10
60,60,10
84,70,64
94,39,23
71,76,13
78,8,37
11
96,52,10
11,71,73
34,69,33
93,8,42
58,12,84
12
62,92,38
18,56,57
59,39,85
79,53,76
48,40,54
13
34,10,42
93,48,42
12,55,40
81,61,67
98,36,9
14
38,60,10
21,15,33
41,80,71
80,69,52
99,51,79
15
73,55,8
41,23,70
19,72,65
92,67,2
30,48,37
16
16,41,31
100,5,57
82,96,24
45,49,26
25,78,80
17
35,6,18
55,22,80
8,44,33
22,83,60
85,35,14
18
77,84,52
98,62,10
90,26,8
21,38,36
96,86,68
19
37,63,17
95,48,82
63,95,72
49,20,67
16,97,68
20
85,89,81
7,22,73
3,90,46
41,34,81
44,57,30
21
3,82,88
95,69,37
19,39,21
79,94,30
51,61,54
22
79,60,58
61,79,33
39,79,22
17,9,80
79,26,55
23
87,49,99
77,37,100
82,7,97
84,93,19
11,23,78
24
73,59,7
36,44,70
38,66,93
19,31,97
9,32,5
25
7,40,44
69,41,61
42,17,48
66,56,39
4,39,39
26
17,87,16
21,38,99
94,72,93
80,68,73
43,65,98
27
3,61,77
84,38,53
14,47,91
13,53,86
75,66,50
28
48,20,43
86,99,16
91,21,26
8,59,98
59,58,41
29
40,73,21
72,81,53
98,97,4
50,6,30
57,15,84
30
89,82,64
2,86,54
70,66,95
63,75,16
63,34,99
31
35,67,71
23,59,70
63,62,20
26,36,21
92,53,6
32
22,84,9
76,78,21
90,9,9
31,97,52
51,96,69
33
26,63,3
77,49,21
73,11,44
87,75,12
46,56,18
34
100,5,80
73,19,59
95,17,24
86,99,51
83,21,33
35
98,20,96
72,4,77
62,11,14
28,41,62
46,5,47
36
21,70,30
82,92,44
56,70,98
85,40,84
47,88,66
37
56,61,67
50,11,99
64,57,21
60,44,54
7,72,48
38
85,30,25
88,87,69
55,27,7
80,61,32
54,92,100
39
82,28,40
76,6,33
44,10,24
85,1,38
3,73,34
40
3,34,26
53,69,75
52,7,27
97,30,20
67,34,58
41
86,72,12
66,10,44
89,78,21
75,80,43
9,78,47
42
97,45,66
57,71,73
71,84,29
84,80,93
32,44,84
43
8,60,91
2,14,40
40,99,42
96,72,16
25,45,24
44
39,100,38
99,85,62
19,72,87
89,53,86
24,16,97
45
97,42,30
49,76,81
79,30,85
29,89,42
85,52,80
46
29,95,74
83,93,24
23,32,85
90,33,51
52,76,73
47
2,82,67
59,97,83
75,45,89
46,51,74
95,62,47
48
21,76,66
29,31,40
87,99,90
70,65,86
96,34,31
49
25,46,4
65,41,62
60,24,45
7,8,37
71,99,24
