10,5,6,25,17828.0
0
30,95,48,46,64,31
11,90,19,68,17,86
5,16,66,47,90,29
96,13,15,75,60,98
6,38,66,24,67,21
1
78,7,3,48,23,78
86,73,49,38,94,40
95,52,7,11,29,9
53,66,72,92,93,26
62,84,50,10,97,70
2
30,74,5,86,68,78
35,14,75,35,44,60
15,73,66,77,25,33
97,20,72,84,49,1
95,91,48,97,74,3
3
52,42,94,43,41,72
40,48,2,14,40,88
37,29,45,37,15,90
75,99,66,68,67,55
64,87,38,26,39,86
4
19,82,30,61,55,96
36,85,21,85,77,98
90,28,39,2,78,42
9,11,43,81,41,83
85,48,77,10,61,73
5
38,93,10,100,28,97
73,55,5,53,61,59
38,87,16,41,34,9
78,26,64,67,24,75
40,19,8,27,46,24
6
94,66,49,31,49,6
87,17,71,69,91,89
92,62,60,76,72,66
64,30,33,4,18,59
31,30,97,96,19,12
7
51,8,45,72,84,47
97,90,44,5,26,51
29,18,4,94,95,24
41,51,52,45,65,7
48,38,8,49,47,25
8
36,86,71,69,42,46
74,20,81,63,37,92
43,37,57,35,65,57
52,85,74,26,8,36
82,8,99,87,53,59
9
68,23,93,64,5,70
3,97,35,39,50,44
67,95,12,71,42,55
88,75,52,85,64,45
70,72,44,26,2,5
